x,y,token
10.467556,-36.553158,","
10.847267,-37.10075,the
10.735015,-36.921326,and
10.380649,-36.796753,.
11.117384,-37.00295,of
-17.809841,49.45395,:
10.459656,-36.87357,to
10.053569,-38.292416,a
11.462561,-36.98837,in
-33.605442,-5.2639527,I
10.4665,-36.63543,;
9.115752,-37.80329,that
15.400358,-38.411064,he
14.583178,-42.780453,his
-35.362694,1.3825442,'
9.092397,-38.05099,it
12.552187,-39.613754,was
8.933987,-37.373642,for
-37.324898,-5.2347975,not
10.845958,-36.8842,with
-32.656845,40.383938,And
-21.026348,-10.83113,is
8.972926,-38.036312,be
14.584419,-51.138924,""""
-43.59053,-4.4242616,you
7.369606,-38.26812,as
10.598241,-37.186344,all
14.45418,-38.341846,him
14.1552725,-38.123604,they
-48.498734,-8.429284,shall
3.9469488,-57.763847,her
14.317929,-38.25611,them
12.199728,-39.642483,had
11.890574,-39.607483,have
-34.010925,0.42347664,s
-39.835224,3.1506486,my
14.2163315,-51.094532,said
14.356174,-38.36935,me
8.994039,-37.667442,but
-6.2711177,42.836727,unto
47.015507,-10.828131,-
11.712763,-36.97269,from
11.902994,-37.009987,at
9.13472,-37.719402,which
41.48616,-40.560318,on
11.518283,-36.963833,by
9.58913,-38.124977,this
14.900495,3.9369137,The
23.456745,-0.7678905,their
3.9395783,-57.758434,she
-47.818863,-3.5603602,?
-48.392616,-8.460639,will
12.64132,-39.217514,were
-12.600286,40.432636,LORD
12.638049,-39.0932,are
7.3494816,-38.277958,so
-25.239752,38.43352,thou
14.2935705,-14.00034,or
-45.952106,-4.8314157,"."""
8.235258,-36.737247,one
-48.110622,-4.760995,!
37.100994,-39.704773,out
-39.98353,9.47658,--
8.39121,-40.18783,man
-23.37725,38.565792,thy
18.547642,-36.420918,when
29.028194,-47.121384,there
37.35196,-39.998177,up
-36.01863,-9.547525,no
-11.810513,38.09261,God
-39.994312,3.049438,your
-23.609737,38.242767,thee
10.151239,-38.50262,an
14.502693,-51.100197,","""
-32.70072,40.358788,But
41.481533,-40.55492,upon
-16.514584,41.657642,ye
-45.226357,-10.386023,do
-19.837708,11.685778,we
-37.85701,-1.6855215,what
37.058083,-39.638596,into
9.9118595,-17.14783,more
7.4859614,-38.276768,if
-50.112255,-8.557087,would
-37.13264,-14.063328,very
15.308337,-38.502953,He
14.624725,-40.414646,who
-50.273006,-8.576959,could
-6.6074533,-44.61457,been
18.247862,-40.410946,now
36.81241,-36.02032,like
16.675568,-36.10635,before
-49.028343,-12.731773,any
34.34794,-45.49072,came
-8.850878,-53.243233,day
-37.50095,-9.564332,come
-45.6278,-11.166432,know
-46.328888,-0.766217,am
-50.39775,-8.587082,did
18.222347,-40.392994,then
-21.76725,58.391373,1
9.900338,-17.138418,than
6.7373757,49.96391,house
21.01652,-46.31001,little
-21.502193,58.448944,2
-20.615313,11.587221,us
1.0009247,44.41881,people
19.805048,-34.59374,great
37.41988,-40.110302,down
-26.058102,2.7574544,see
17.70551,-34.291996,made
6.021931,21.112196,every
-42.501446,-7.3923554,good
-32.844276,40.081776,For
-43.66034,-11.410338,say
7.1150517,14.063037,men
-21.419855,58.479637,3
-24.352274,-7.9053507,time
8.812938,52.227104,king
19.459562,55.51964,Israel
7.973401,15.327738,d
8.610589,-25.994133,some
-31.738176,-12.154479,It
17.209421,-35.437145,about
-21.156313,58.466484,4
-34.60778,-5.319631,go
-20.582808,11.639323,our
-49.893524,-8.54142,should
39.92146,-29.697079,over
-5.3741255,32.50159,hath
-49.37983,-8.484705,may
8.066385,-36.543335,other
21.270823,-30.310003,after
36.679096,-31.144022,hand
4.0466323,5.9279943,these
3.9224355,64.051216,son
-20.293179,-14.589242,only
-20.648792,58.478714,7
-19.679415,-58.1967,Mr
-2.4495215,-19.368797,such
-21.047712,58.470863,5
-20.633253,58.483295,6
-47.743084,-3.5866935,"?"""
34.33523,-45.53836,went
7.864107,-29.37864,even
-49.314938,-8.48361,must
-36.364697,-15.967489,much
40.359837,41.75325,two
11.34666,32.26266,against
-45.188984,-2.4686651,t
5.2531285,36.462822,children
-20.556835,58.54852,9
-22.884699,-20.878721,own
-20.668894,58.60141,8
-32.41377,40.599945,Then
-35.30103,-10.723793,make
-47.535248,-8.717912,can
-20.684006,58.626408,10
-20.588602,58.660824,11
1.0440423,29.443947,also
37.58169,-41.092075,again
16.662235,49.914574,land
-21.543724,38.112526,O
38.193203,-41.084972,away
-20.693521,58.631687,12
-17.351053,21.969255,thing
-11.625704,-12.703959,things
-49.85197,-8.534505,might
-36.45242,-15.960693,well
-20.542454,58.573067,13
29.191803,-45.542744,way
27.642263,-44.90824,old
-25.057447,43.865765,let
-20.497421,58.525665,14
-14.732317,2.0541081,yet
-37.754086,-1.1139617,how
-20.08284,-57.84767,Mrs
5.2754674,-38.077484,first
-20.521631,58.6516,15
-48.078957,-4.751415,"!"""
-37.89719,-7.14279,never
-49.436066,6.9998574,(
-20.50659,58.548283,16
15.12473,-38.474064,himself
25.284643,-17.052055,long
-3.736754,55.535336,saying
-5.3969474,60.575157,father
-43.609455,-4.537443,You
-21.73128,29.498333,give
-24.979485,38.577003,shalt
-45.43402,-11.0019455,think
-29.017984,37.098423,What
-12.700559,39.768837,Lord
-0.68216807,41.50829,because
-9.842403,-26.607437,being
-14.055722,-3.685083,ever
35.70964,-44.01773,saw
3.8418944,-57.792755,She
-20.53863,58.610867,18
11.909772,-39.67846,has
11.06325,15.8328495,In
4.282048,17.231453,heard
-33.072388,30.597742,To
-19.340216,12.093041,They
4.0718718,5.923253,those
-21.70957,29.482677,take
38.206738,-41.064903,off
18.833918,44.858402,place
-18.643599,-32.17666,without
28.57762,17.773499,put
-20.475487,58.708786,19
18.54705,17.802656,earth
9.705883,14.87582,many
-20.465103,58.551537,17
-14.6973715,1.9736588,though
35.01978,-4.8814073,through
0.67736894,53.67286,name
-9.121051,20.3178,heart
-20.214567,58.51226,20
-5.5260715,20.839748,nor
29.884869,-46.3445,where
-37.107285,-13.935364,too
-6.9444513,-16.646404,most
-17.630333,-5.2059655,A
-32.340668,40.622185,So
-20.25206,58.544056,21
55.841114,-16.875328,head
-37.91136,-2.770162,here
-20.293802,58.686474,22
32.423214,-29.341131,eyes
-38.48406,28.234648,That
-11.39719,20.070871,life
-17.555838,18.621128,whom
-36.919437,-20.344612,nothing
-38.02557,-7.0102706,thought
11.131211,41.54108,among
-44.55093,12.115484,done
5.294406,-38.089375,last
48.940807,2.8457818,sea
-6.3042126,44.728065,word
-20.26314,58.723083,23
19.536642,-29.087082,still
